age,sex,race,priors_count,days_b_screening_arrest,c_charge_degree,is_recid,is_violent_recid,two_year_recid,length_of_stay,class
45,Female,Other,27,447,M,0,0,0,13,Medium
45,Female,Other,17,431,M,0,0,0,335,Medium
45,Female,Other,9,822,M,0,0,0,139,Medium
45,Female,Other,7,813,F,0,0,0,46,Medium
45,Female,Other,28,396,F,0,0,0,226,Medium
45,Female,Other,11,61,F,0,0,0,685,Medium
45,Female,Other,21,684,F,0,0,0,410,Medium
45,Female,Other,5,0,M,1,0,0,319,Medium
45,Female,Other,32,307,F,0,0,0,782,Medium
45,Female,Other,15,214,M,0,1,0,264,Medium
