age,workclass,education,marital-status,occupation,relationship,race,sex,capital-gain,capital-loss,hours-per-week,native-country,class
56,Never-worked,Some-college,Married-spouse-absent,Armed-Forces,Not-in-family,Black,Male,9208,0,50,United-States,>50K
56,Federal-gov,Some-college,Married-spouse-absent,Handlers-cleaners,Not-in-family,Black,Male,9208,0,50,United-States,>50K
56,Self-emp-not-inc,Some-college,Married-spouse-absent,Transport-moving,Not-in-family,Black,Male,9208,0,55,United-States,>50K
56,Federal-gov,Some-college,Married-spouse-absent,Sales,Not-in-family,Black,Male,12781,0,50,United-States,>50K
56,Federal-gov,Some-college,Married-spouse-absent,Transport-moving,Not-in-family,Black,Male,12781,0,50,United-States,>50K
56,Federal-gov,Some-college,Married-spouse-absent,Armed-Forces,Not-in-family,Black,Male,17522,0,50,United-States,>50K
56,Federal-gov,Some-college,Married-spouse-absent,Prof-specialty,Not-in-family,Black,Male,17522,0,48,United-States,>50K
56,Federal-gov,Some-college,Married-spouse-absent,Prof-specialty,Not-in-family,Black,Male,9208,0,78,United-States,>50K
56,Self-emp-not-inc,Some-college,Married-spouse-absent,Farming-fishing,Not-in-family,Black,Male,9208,0,1,United-States,>50K
56,Local-gov,Some-college,Married-spouse-absent,Prof-specialty,Not-in-family,Black,Male,25638,0,62,United-States,>50K
56,Never-worked,Some-college,Married-spouse-absent,nan,Not-in-family,Black,Male,9208,0,52,United-States,>50K
56,Without-pay,Some-college,Married-spouse-absent,Armed-Forces,Not-in-family,Black,Male,9208,0,54,United-States,>50K
56,Federal-gov,Some-college,Married-spouse-absent,Adm-clerical,Not-in-family,Black,Male,9208,0,55,United-States,>50K
56,Federal-gov,Some-college,Married-spouse-absent,Protective-serv,Not-in-family,Black,Male,9208,0,55,United-States,>50K
56,Federal-gov,Some-college,Married-spouse-absent,Prof-specialty,Not-in-family,Black,Male,33405,0,56,United-States,>50K
56,Federal-gov,Some-college,Married-spouse-absent,Adm-clerical,Not-in-family,Black,Male,9208,0,78,United-States,>50K
56,Never-worked,Some-college,Married-spouse-absent,Adm-clerical,Not-in-family,Black,Male,9208,0,78,United-States,>50K
56,Private,Some-college,Married-spouse-absent,Adm-clerical,Not-in-family,Black,Male,9208,0,78,United-States,>50K
