age,capital-gain,capital-loss,hours-per-week,workclass,education,marital-status,occupation,relationship,race,sex,native-country,class
56.0,99999.0,4356.0,1.0,Self-emp-inc,Some-college,Married-spouse-absent,Exec-managerial,Not-in-family,Black,Male,United-States,0.996
56.0,17352.8,4356.0,79.5,Self-emp-inc,Some-college,Married-spouse-absent,Exec-managerial,Not-in-family,Black,Male,United-States,0.929
56.0,99999.0,4356.0,42.7,Federal-gov,Some-college,Married-spouse-absent,Tech-support,Not-in-family,Black,Male,United-States,0.997
56.0,99999.0,4356.0,99.0,Private,Some-college,Married-spouse-absent,Craft-repair,Not-in-family,Black,Male,United-States,0.997
56.0,39487.4,0.0,56.8,Self-emp-inc,Some-college,Married-spouse-absent,Protective-serv,Not-in-family,Black,Male,United-States,0.861
56.0,48516.9,0.0,95.4,Self-emp-not-inc,Some-college,Married-spouse-absent,Sales,Not-in-family,Black,Male,United-States,0.908
56.0,61359.4,906.3,26.9,Local-gov,Some-college,Married-spouse-absent,Exec-managerial,Not-in-family,Black,Male,United-States,0.961
56.0,73395.0,0.0,72.2,Never-worked,Some-college,Married-spouse-absent,Other-service,Not-in-family,Black,Male,United-States,0.942
56.0,99999.0,4356.0,88.0,State-gov,Some-college,Married-spouse-absent,Prof-specialty,Not-in-family,Black,Male,United-States,0.997
56.0,99999.0,4356.0,63.6,State-gov,Some-college,Married-spouse-absent,Tech-support,Not-in-family,Black,Male,United-States,0.997
56.0,80976.8,0.0,36.4,Self-emp-not-inc,Some-college,Married-spouse-absent,Prof-specialty,Not-in-family,Black,Male,United-States,0.972
56.0,73494.4,184.3,1.0,Self-emp-not-inc,Some-college,Married-spouse-absent,Prof-specialty,Not-in-family,Black,Male,United-States,0.933
56.0,75329.4,0.0,11.9,Never-worked,Some-college,Married-spouse-absent,Tech-support,Not-in-family,Black,Male,United-States,0.954
56.0,99999.0,4356.0,19.9,Private,Some-college,Married-spouse-absent,Craft-repair,Not-in-family,Black,Male,United-States,0.995
56.0,62014.8,3416.6,50.0,Private,Some-college,Married-spouse-absent,Machine-op-inspct,Not-in-family,Black,Male,United-States,0.975
