age,sex,race,priors_count,days_b_screening_arrest,c_charge_degree,is_recid,is_violent_recid,two_year_recid,length_of_stay,class
45,Female,Other,29,1,M,0,0,0,207,Medium
45,Female,Other,37,440,M,0,0,0,10,Medium
45,Female,Other,34,755,M,0,0,0,85,Medium
45,Female,Other,20,117,F,0,0,0,346,Medium
45,Female,Other,22,963,M,0,0,0,315,Medium
45,Female,Other,20,305,F,0,0,0,664,Medium
45,Female,Other,13,398,F,0,0,0,790,Medium
45,Female,Other,8,164,M,0,1,0,246,Medium
45,Female,Other,22,532,M,1,0,0,45,Medium
45,Female,Other,36,88,M,0,1,0,401,Medium
