age,workclass,education,marital-status,occupation,relationship,race,sex,capital-gain,capital-loss,hours-per-week,native-country,class
56,Federal-gov,Some-college,Married-spouse-absent,Prof-specialty,Not-in-family,Black,Male,15515,0,50,United-States,>50K
56,Federal-gov,Some-college,Married-spouse-absent,Prof-specialty,Not-in-family,Black,Male,20703,0,50,United-States,>50K
56,Local-gov,Some-college,Married-spouse-absent,Prof-specialty,Not-in-family,Black,Male,27193,0,50,United-States,>50K
56,Never-worked,Some-college,Married-spouse-absent,Armed-Forces,Not-in-family,Black,Male,11464,0,50,United-States,>50K
56,Federal-gov,Some-college,Married-spouse-absent,Sales,Not-in-family,Black,Male,11464,0,50,United-States,>50K
56,Federal-gov,Some-college,Married-spouse-absent,Protective-serv,Not-in-family,Black,Male,11464,0,50,United-States,>50K
56,Federal-gov,Some-college,Married-spouse-absent,Adm-clerical,Not-in-family,Black,Male,11464,0,50,United-States,>50K
56,Without-pay,Some-college,Married-spouse-absent,Sales,Not-in-family,Black,Male,15515,0,50,United-States,>50K
56,Federal-gov,Some-college,Married-spouse-absent,Exec-managerial,Not-in-family,Black,Male,15515,0,50,United-States,>50K
56,Federal-gov,Some-college,Married-spouse-absent,Machine-op-inspct,Not-in-family,Black,Male,15515,0,50,United-States,>50K
56,Self-emp-not-inc,Some-college,Married-spouse-absent,Prof-specialty,Not-in-family,Black,Male,21829,0,1,United-States,>50K
56,State-gov,Some-college,Married-spouse-absent,Farming-fishing,Not-in-family,Black,Male,20703,0,50,United-States,>50K
56,Federal-gov,Some-college,Married-spouse-absent,Machine-op-inspct,Not-in-family,Black,Male,20703,0,50,United-States,>50K
56,Federal-gov,Some-college,Married-spouse-absent,Adm-clerical,Not-in-family,Black,Male,20703,0,50,United-States,>50K
56,Federal-gov,Some-college,Married-spouse-absent,Handlers-cleaners,Not-in-family,Black,Male,20703,0,50,United-States,>50K
