ExternalRiskEstimate,MSinceOldestTradeOpen,MSinceMostRecentTradeOpen,AverageMInFile,NumSatisfactoryTrades,NumTrades60Ever2DerogPubRec,NumTrades90Ever2DerogPubRec,PercentTradesNeverDelq,MSinceMostRecentDelq,MaxDelq2PublicRecLast12M,MaxDelqEver,NumTotalTrades,NumTradesOpeninLast12M,PercentInstallTrades,MSinceMostRecentInqexcl7days,NumInqLast6M,NumInqLast6Mexcl7days,NetFractionRevolvingBurden,NetFractionInstallBurden,NumRevolvingTradesWBalance,NumInstallTradesWBalance,NumBank2NatlTradesWHighUtilization,PercentTradesWBalance,RiskPerformance
-9.0,-9.0,-9.0,-9.0,68.4,-9.0,-9.0,-8.7,-9.0,-9.0,8.0,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,0.732
-9.0,209.5,-9.0,-6.5,-8.5,-9.0,-9.0,-8.7,-9.0,0.5,8.0,-8.8,-9.0,-9.0,-8.1,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,0.738
-9.0,497.1,-9.0,-9.0,32.8,-9.0,-9.0,-9.0,-9.0,-9.0,-8.9,40.1,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,0.736
-9.0,310.1,-9.0,-9.0,17.5,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,6.8,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,0.729
-9.0,583.2,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,-1.1,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,0.733
-9.0,485.1,6.4,113.1,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,-8.3,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,0.74
-9.0,-9.0,-9.0,174.1,47.0,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,-1.2,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,0.733
-9.0,147.1,-9.0,97.1,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,16.6,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,0.744
-9.0,451.3,-9.0,57.6,-5.5,-9.0,-9.0,3.8,-9.0,-6.7,-8.7,-9.0,-9.0,-9.0,-0.9,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,0.763
-9.0,803.0,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,2.5,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,0.841
-9.0,676.6,-9.0,-5.8,-8.8,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,-0.5,-9.0,-9.0,0.736
-9.0,564.5,-9.0,-9.0,-9.0,-9.0,-9.0,27.5,-9.0,-9.0,-5.2,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,0.736
-9.0,80.5,-9.0,123.8,-2.9,-9.0,-9.0,-9.0,-9.0,-9.0,8.0,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,0.734
-9.0,53.0,-9.0,383.0,-8.3,-9.0,-9.0,-9.0,-9.0,-9.0,-8.9,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,0.737
-9.0,-9.0,-9.0,250.4,-9.0,-9.0,-9.0,-9.0,-9.0,-6.1,-0.5,-9.0,-9.0,-9.0,-7.1,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,0.73
-9.0,724.5,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,0.0,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,0.737
-9.0,-2.1,-9.0,-5.9,-8.2,-9.0,-9.0,-9.0,-9.0,-9.0,1.7,-9.0,-9.0,-9.0,24.0,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,0.739
-9.0,243.8,-9.0,25.0,78.0,-9.0,-9.0,-9.0,-9.0,-7.8,-8.6,-9.0,-9.0,-9.0,-8.8,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,0.759
