ExternalRiskEstimate,MSinceOldestTradeOpen,MSinceMostRecentTradeOpen,AverageMInFile,NumSatisfactoryTrades,NumTrades60Ever2DerogPubRec,NumTrades90Ever2DerogPubRec,PercentTradesNeverDelq,MSinceMostRecentDelq,MaxDelq2PublicRecLast12M,MaxDelqEver,NumTotalTrades,NumTradesOpeninLast12M,PercentInstallTrades,MSinceMostRecentInqexcl7days,NumInqLast6M,NumInqLast6Mexcl7days,NetFractionRevolvingBurden,NetFractionInstallBurden,NumRevolvingTradesWBalance,NumInstallTradesWBalance,NumBank2NatlTradesWHighUtilization,PercentTradesWBalance,RiskPerformance
-9.0,-7.1,-9.0,-6.9,68.0,-9.0,-9.0,-9.0,-9.0,-9.0,8.0,-9.0,-9.0,-9.0,-8.9,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,0.734
-9.0,363.4,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,-4.8,4.5,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,0.735
-9.0,495.6,-9.0,0.9,27.7,-9.0,-9.0,-9.0,-9.0,-9.0,-8.4,26.0,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,0.738
-9.0,258.5,-9.0,-9.0,78.0,-9.0,-9.0,-9.0,-9.0,-8.4,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,0.734
-9.0,803.0,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,0.779
-9.0,523.4,-6.0,80.5,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,-8.6,-9.0,-9.0,-9.0,-9.0,-9.0,-5.6,-9.0,-9.0,0.733
-9.0,1.0,-9.0,146.5,45.0,-9.0,-9.0,-8.9,-9.0,-9.0,-8.9,-9.0,-9.0,-9.0,1.8,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,0.734
-9.0,428.9,-9.0,-8.4,-8.7,-9.0,-9.0,-9.0,-9.0,-9.0,-8.9,-9.0,-9.0,-9.0,7.7,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,0.736
-9.0,135.9,-9.0,0.7,-8.8,-9.0,-9.0,-9.0,-9.0,-9.0,-7.7,-9.0,-9.0,-9.0,24.0,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,0.73
-9.0,208.1,-9.0,187.9,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,-2.5,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,0.731
-9.0,555.7,-9.0,-9.0,-9.0,-9.0,-9.0,16.8,-9.0,-9.0,-4.6,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,0.733
-9.0,38.8,-9.0,383.0,-8.6,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,-8.9,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,0.73
-9.0,128.7,-9.0,66.9,-1.8,-9.0,-9.0,-8.1,-9.0,-8.8,8.0,-9.0,-9.0,-9.0,-2.1,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,0.755
