age,sex,race,priors_count,days_b_screening_arrest,c_charge_degree,is_recid,is_violent_recid,two_year_recid,length_of_stay,class
45,Female,Other,20,409,M,0,0,0,38,Medium
45,Female,Other,20,199,M,0,0,0,302,Medium
45,Female,Other,32,152,M,0,0,0,361,Medium
45,Female,Other,32,419,M,0,0,0,168,Medium
45,Female,Other,25,407,F,0,0,0,142,Medium
45,Female,Other,24,484,M,0,0,0,718,Medium
45,Female,Other,8,1007,M,0,0,0,545,Medium
45,Female,Other,20,541,F,0,0,0,401,Medium
45,Female,Other,22,549,F,0,0,0,431,Medium
45,Female,Other,14,155,M,1,0,0,143,Medium
45,Female,Other,13,30,M,0,0,1,384,Medium
45,Female,Other,11,246,M,0,1,0,254,Medium
45,Female,Other,5,118,F,0,0,1,84,Medium
