ExternalRiskEstimate,MSinceOldestTradeOpen,MSinceMostRecentTradeOpen,AverageMInFile,NumSatisfactoryTrades,NumTrades60Ever2DerogPubRec,NumTrades90Ever2DerogPubRec,PercentTradesNeverDelq,MSinceMostRecentDelq,MaxDelq2PublicRecLast12M,MaxDelqEver,NumTotalTrades,NumTradesOpeninLast12M,PercentInstallTrades,MSinceMostRecentInqexcl7days,NumInqLast6M,NumInqLast6Mexcl7days,NetFractionRevolvingBurden,NetFractionInstallBurden,NumRevolvingTradesWBalance,NumInstallTradesWBalance,NumBank2NatlTradesWHighUtilization,PercentTradesWBalance,RiskPerformance
-9.0,-9.0,-9.0,-9.0,76.4,-9.0,-9.0,-9.0,-9.0,-9.0,6.4,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,0.734
-9.0,270.0,-9.0,-7.4,16.7,-9.0,-9.0,-9.0,-9.0,-1.7,0.7,-9.0,-9.0,-9.0,-8.9,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,0.734
-9.0,470.6,-9.0,-9.0,37.5,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,31.1,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,0.734
-9.0,204.3,-9.0,-7.8,61.2,-9.0,-9.0,-9.0,-9.0,-7.8,-9.0,-9.0,-9.0,-9.0,1.1,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,0.744
-9.0,803.0,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,0.779
-9.0,547.0,9.5,53.7,-0.6,-9.0,-9.0,-9.0,-9.0,-9.0,-8.9,-9.0,-9.0,-9.0,-8.9,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,0.738
-9.0,-2.4,-9.0,216.8,-8.9,-9.0,-9.0,-9.0,-9.0,-9.0,-2.9,-9.0,-9.0,-9.0,3.5,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,0.739
-9.0,348.7,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,-7.4,-9.0,-9.0,-9.0,9.9,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,0.728
-9.0,596.9,-9.0,-9.0,-9.0,-9.0,-9.0,25.1,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,-5.9,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,0.734
-9.0,43.4,-9.0,383.0,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,-8.9,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,0.732
-9.0,575.8,-9.0,-6.1,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,-3.4,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,-2.1,-9.0,-9.0,0.739
-9.0,326.4,-9.0,-9.0,-9.0,-9.0,-9.0,1.1,-9.0,-9.0,8.0,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,0.73
-9.0,53.1,-9.0,113.0,78.0,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,0.729
-9.0,371.3,-9.0,162.3,-9.0,-9.0,-9.0,-9.0,-9.0,-5.2,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,0.74
-9.0,79.2,-9.0,19.5,3.5,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,24.0,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,0.732
-9.0,-1.1,-9.0,152.4,6.3,-9.0,-9.0,-9.0,-9.0,-8.9,8.0,-7.7,-9.0,-9.0,-8.5,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,0.744
