age,capital-gain,capital-loss,hours-per-week,workclass,education,marital-status,occupation,relationship,race,sex,native-country,class
56.0,76574.9,4356.0,26.1,Private,Some-college,Married-spouse-absent,Sales,Not-in-family,Black,Male,United-States,0.99
56.0,99999.0,4356.0,99.0,Self-emp-inc,Some-college,Married-spouse-absent,Exec-managerial,Not-in-family,Black,Male,United-States,0.998
56.0,99999.0,3935.9,59.2,Federal-gov,Some-college,Married-spouse-absent,Tech-support,Not-in-family,Black,Male,United-States,0.997
56.0,99999.0,4356.0,78.8,Local-gov,Some-college,Married-spouse-absent,Protective-serv,Not-in-family,Black,Male,United-States,0.997
56.0,33722.6,0.0,33.9,Federal-gov,Some-college,Married-spouse-absent,Exec-managerial,Not-in-family,Black,Male,United-States,0.768
56.0,43122.4,0.0,99.0,Federal-gov,Some-college,Married-spouse-absent,Machine-op-inspct,Not-in-family,Black,Male,United-States,0.894
56.0,58877.7,2918.7,50.1,Self-emp-inc,Some-college,Married-spouse-absent,Prof-specialty,Not-in-family,Black,Male,United-States,0.98
56.0,62201.7,798.3,87.5,Never-worked,Some-college,Married-spouse-absent,Transport-moving,Not-in-family,Black,Male,United-States,0.962
56.0,29923.7,4356.0,68.9,Self-emp-not-inc,Some-college,Married-spouse-absent,Craft-repair,Not-in-family,Black,Male,United-States,0.875
56.0,99999.0,4356.0,14.7,Federal-gov,Some-college,Married-spouse-absent,Prof-specialty,Not-in-family,Black,Male,United-States,0.996
56.0,99999.0,0.0,1.0,Without-pay,Some-college,Married-spouse-absent,Exec-managerial,Not-in-family,Black,Male,United-States,0.986
56.0,39616.3,4356.0,4.9,Self-emp-not-inc,Some-college,Married-spouse-absent,Craft-repair,Not-in-family,Black,Male,United-States,0.832
56.0,99999.0,0.0,43.0,Self-emp-not-inc,Some-college,Married-spouse-absent,Other-service,Not-in-family,Black,Male,United-States,0.984
