age,workclass,education,marital-status,occupation,relationship,race,sex,capital-gain,capital-loss,hours-per-week,native-country,class
56,Self-emp-not-inc,Some-college,Married-spouse-absent,Exec-managerial,Not-in-family,Black,Male,7917,0,45,United-States,>50K
56,Never-worked,Some-college,Married-spouse-absent,Machine-op-inspct,Not-in-family,Black,Male,10915,0,50,United-States,>50K
56,Local-gov,Some-college,Married-spouse-absent,Exec-managerial,Not-in-family,Black,Male,10915,0,50,United-States,>50K
56,State-gov,Some-college,Married-spouse-absent,Prof-specialty,Not-in-family,Black,Male,9056,0,56,United-States,>50K
56,Federal-gov,Some-college,Married-spouse-absent,Handlers-cleaners,Not-in-family,Black,Male,15170,0,50,United-States,>50K
56,Federal-gov,Some-college,Married-spouse-absent,Adm-clerical,Not-in-family,Black,Male,15170,0,50,United-States,>50K
56,Private,Some-college,Married-spouse-absent,Prof-specialty,Not-in-family,Black,Male,15709,0,45,United-States,>50K
56,Federal-gov,Some-college,Married-spouse-absent,Prof-specialty,Not-in-family,Black,Male,13564,0,63,United-States,>50K
56,Federal-gov,Some-college,Married-spouse-absent,Armed-Forces,Not-in-family,Black,Male,18517,0,50,United-States,>50K
56,Private,Some-college,Married-spouse-absent,Armed-Forces,Not-in-family,Black,Male,18517,0,50,United-States,>50K
56,Local-gov,Some-college,Married-spouse-absent,Other-service,Not-in-family,Black,Male,18517,0,50,United-States,>50K
56,Self-emp-not-inc,Some-college,Married-spouse-absent,Farming-fishing,Not-in-family,Black,Male,18517,0,65,United-States,>50K
56,Private,Some-college,Married-spouse-absent,Prof-specialty,Not-in-family,Black,Male,25249,0,56,United-States,>50K
56,Self-emp-inc,Some-college,Married-spouse-absent,Machine-op-inspct,Not-in-family,Black,Male,7917,0,48,United-States,>50K
56,Federal-gov,Some-college,Married-spouse-absent,Sales,Not-in-family,Black,Male,7917,0,45,United-States,>50K
56,nan,Some-college,Married-spouse-absent,Adm-clerical,Not-in-family,Black,Male,9056,0,48,United-States,>50K
56,Without-pay,Some-college,Married-spouse-absent,Handlers-cleaners,Not-in-family,Black,Male,7917,0,56,United-States,>50K
56,Federal-gov,Some-college,Married-spouse-absent,Craft-repair,Not-in-family,Black,Male,7917,0,43,United-States,>50K
56,Private,Some-college,Married-spouse-absent,Handlers-cleaners,Not-in-family,Black,Male,7917,0,43,United-States,>50K
