age,workclass,education,marital-status,occupation,relationship,race,sex,capital-gain,capital-loss,hours-per-week,native-country,class
56,Private,Some-college,Married-spouse-absent,Prof-specialty,Not-in-family,Black,Male,18928,0,50,United-States,>50K
56,Federal-gov,Some-college,Married-spouse-absent,Prof-specialty,Not-in-family,Black,Male,35659,0,50,United-States,>50K
56,Private,Some-college,Married-spouse-absent,Prof-specialty,Not-in-family,Black,Male,27980,0,57,United-States,>50K
56,Local-gov,Some-college,Married-spouse-absent,Prof-specialty,Not-in-family,Black,Male,53804,0,50,United-States,>50K
56,Local-gov,Some-college,Married-spouse-absent,Tech-support,Not-in-family,Black,Male,16714,67,50,United-States,>50K
56,Private,Some-college,Married-spouse-absent,Machine-op-inspct,Not-in-family,Black,Male,21824,0,47,United-States,>50K
56,Self-emp-not-inc,Some-college,Married-spouse-absent,Craft-repair,Not-in-family,Black,Male,40854,0,57,United-States,>50K
56,Self-emp-not-inc,Some-college,Married-spouse-absent,Exec-managerial,Not-in-family,Black,Male,27980,0,1,United-States,>50K
56,Self-emp-not-inc,Some-college,Married-spouse-absent,Priv-house-serv,Not-in-family,Black,Male,17271,1220,50,United-States,>50K
56,Never-worked,Some-college,Married-spouse-absent,Transport-moving,Not-in-family,Black,Male,47424,0,50,United-States,>50K
56,Federal-gov,Some-college,Married-spouse-absent,Prof-specialty,Not-in-family,Black,Male,37198,0,83,United-States,>50K
56,Federal-gov,Some-college,Married-spouse-absent,Prof-specialty,Not-in-family,Black,Male,35659,0,12,United-States,>50K
56,Never-worked,Some-college,Married-spouse-absent,Prof-specialty,Not-in-family,Black,Male,37198,0,87,United-States,>50K
56,Without-pay,Some-college,Married-spouse-absent,Craft-repair,Not-in-family,Black,Male,27980,0,57,United-States,>50K
56,Federal-gov,Some-college,Married-spouse-absent,Exec-managerial,Not-in-family,Black,Male,27980,0,57,United-States,>50K
56,nan,Some-college,Married-spouse-absent,Adm-clerical,Not-in-family,Black,Male,27980,0,57,United-States,>50K
