age,sex,race,priors_count,days_b_screening_arrest,c_charge_degree,is_recid,is_violent_recid,two_year_recid,length_of_stay,class
45,Female,Other,10,383,F,0,0,0,188,Medium
45,Female,Other,21,505,M,0,0,0,728,Medium
45,Female,Other,33,38,F,0,0,0,780,Medium
45,Female,Other,31,697,M,0,0,0,743,Medium
45,Female,Other,31,984,M,0,0,0,672,Medium
45,Female,Other,21,456,M,0,0,1,30,Medium
45,Female,Other,11,440,M,0,0,1,181,Medium
45,Female,Other,6,0,F,0,0,1,144,Medium
45,Female,Other,17,84,M,0,0,1,423,Medium
45,Female,Other,16,147,M,1,0,0,422,Medium
45,Female,Other,22,511,M,0,0,1,155,Medium
45,Female,Other,32,55,M,0,1,0,411,Medium
