duration_in_month,credit_amount,installment_as_income_perc,present_res_since,age,credits_this_bank,people_under_maintenance,account_check_status,credit_history,purpose,savings,present_emp_since,personal_status_sex,other_debtors,property,other_installment_plans,housing,job,telephone,foreign_worker,default
6.9,250.0,4.0,2.1,35.0,4.0,1.0,< 0 DM,existing credits paid back duly till now,domestic appliances,... < 100 DM,unemployed,male : married/widowed,co-applicant,if not A121 : building society savings agreement/ life insurance,stores,own,unemployed/ unskilled - non-resident,none,yes,0.521
54.4,11007.2,4.0,4.0,35.0,4.0,1.0,< 0 DM,existing credits paid back duly till now,domestic appliances,... < 100 DM,... < 1 year ,male : divorced/separated,co-applicant,unknown / no property,stores,own,unemployed/ unskilled - non-resident,none,yes,0.559
4.0,250.0,1.0,1.0,35.0,4.0,1.0,< 0 DM,existing credits paid back duly till now,domestic appliances,... < 100 DM,... < 1 year ,male : divorced/separated,co-applicant,"if not A121/A122 : car or other, not in attribute 6",bank,own,unemployed/ unskilled - non-resident,none,yes,0.546
4.0,15945.0,2.6,3.4,35.0,4.0,1.0,< 0 DM,existing credits paid back duly till now,domestic appliances,... < 100 DM,... < 1 year ,male : divorced/separated,co-applicant,unknown / no property,stores,own,unemployed/ unskilled - non-resident,none,yes,0.561
60.0,250.0,4.0,1.7,35.0,4.0,1.0,< 0 DM,existing credits paid back duly till now,domestic appliances,... < 100 DM,... < 1 year ,male : divorced/separated,co-applicant,unknown / no property,stores,own,unemployed/ unskilled - non-resident,none,yes,0.549
19.6,250.0,1.0,4.0,35.0,4.0,1.0,< 0 DM,existing credits paid back duly till now,domestic appliances,... < 100 DM,4 <= ... < 7 years,male : divorced/separated,co-applicant,unknown / no property,stores,own,unemployed/ unskilled - non-resident,none,yes,0.539
11.2,9275.7,4.0,1.0,35.0,4.0,1.0,< 0 DM,existing credits paid back duly till now,domestic appliances,... < 100 DM,... < 1 year ,male : divorced/separated,co-applicant,"if not A121/A122 : car or other, not in attribute 6",bank,own,unemployed/ unskilled - non-resident,none,yes,0.563
60.0,2605.4,1.6,4.0,35.0,4.0,1.0,< 0 DM,existing credits paid back duly till now,domestic appliances,... < 100 DM,... < 1 year ,male : divorced/separated,co-applicant,"if not A121/A122 : car or other, not in attribute 6",bank,own,unemployed/ unskilled - non-resident,none,yes,0.549
4.0,11139.5,1.0,4.0,35.0,4.0,1.0,< 0 DM,existing credits paid back duly till now,domestic appliances,100 <= ... < 500 DM,4 <= ... < 7 years,male : divorced/separated,co-applicant,unknown / no property,bank,own,skilled employee / official,none,yes,0.514
37.6,250.0,4.0,1.0,35.0,4.0,1.0,< 0 DM,existing credits paid back duly till now,domestic appliances,... < 100 DM,... < 1 year ,male : divorced/separated,co-applicant,if not A121 : building society savings agreement/ life insurance,bank,own,skilled employee / official,none,yes,0.529
32.6,6405.3,1.0,2.0,35.0,4.0,1.0,< 0 DM,existing credits paid back duly till now,domestic appliances,... < 100 DM,... < 1 year ,male : divorced/separated,co-applicant,real estate,stores,own,unemployed/ unskilled - non-resident,none,yes,0.536
4.0,3387.1,2.2,1.0,35.0,4.0,1.0,< 0 DM,existing credits paid back duly till now,domestic appliances,... < 100 DM,unemployed,male : divorced/separated,co-applicant,if not A121 : building society savings agreement/ life insurance,bank,own,management/ self-employed/ highly qualified employee/ officer,none,yes,0.527
35.5,15870.1,4.0,4.0,35.0,4.0,1.0,< 0 DM,existing credits paid back duly till now,domestic appliances,... < 100 DM,... < 1 year ,male : divorced/separated,co-applicant,"if not A121/A122 : car or other, not in attribute 6",bank,own,skilled employee / official,none,yes,0.55
60.0,15945.0,1.0,1.2,35.0,4.0,1.0,< 0 DM,existing credits paid back duly till now,domestic appliances,... < 100 DM,... < 1 year ,male : divorced/separated,co-applicant,unknown / no property,bank,own,unemployed/ unskilled - non-resident,none,yes,0.567
4.0,4574.7,4.0,4.0,35.0,4.0,1.0,< 0 DM,existing credits paid back duly till now,domestic appliances,... < 100 DM,... < 1 year ,female : divorced/separated/married,co-applicant,unknown / no property,stores,own,unemployed/ unskilled - non-resident,none,yes,0.531
4.0,14433.4,1.0,1.0,35.0,4.0,1.0,< 0 DM,existing credits paid back duly till now,domestic appliances,... < 100 DM,unemployed,male : divorced/separated,co-applicant,"if not A121/A122 : car or other, not in attribute 6",bank,own,unemployed/ unskilled - non-resident,none,yes,0.553
22.8,15945.0,4.0,1.0,35.0,4.0,1.0,< 0 DM,existing credits paid back duly till now,domestic appliances,... < 100 DM,4 <= ... < 7 years,female : divorced/separated/married,co-applicant,if not A121 : building society savings agreement/ life insurance,stores,own,unemployed/ unskilled - non-resident,none,yes,0.539
60.0,7947.9,2.4,1.0,35.0,4.0,1.0,< 0 DM,existing credits paid back duly till now,domestic appliances,... < 100 DM,4 <= ... < 7 years,male : divorced/separated,co-applicant,if not A121 : building society savings agreement/ life insurance,bank,own,unemployed/ unskilled - non-resident,none,yes,0.547
