age,workclass,education,marital-status,occupation,relationship,race,sex,capital-gain,capital-loss,hours-per-week,native-country,class
56,Federal-gov,Some-college,Married-spouse-absent,Other-service,Not-in-family,Black,Male,18875,0,50,United-States,>50K
56,Private,Some-college,Married-spouse-absent,Other-service,Not-in-family,Black,Male,19080,0,50,United-States,>50K
56,Self-emp-not-inc,Some-college,Married-spouse-absent,Prof-specialty,Not-in-family,Black,Male,17844,89,44,United-States,>50K
56,Self-emp-not-inc,Some-college,Married-spouse-absent,Craft-repair,Not-in-family,Black,Male,8025,0,97,United-States,>50K
56,Local-gov,Some-college,Married-spouse-absent,Tech-support,Not-in-family,Black,Male,8025,0,42,United-States,>50K
56,Self-emp-not-inc,Some-college,Married-spouse-absent,Exec-managerial,Not-in-family,Black,Male,18875,0,97,United-States,>50K
56,Federal-gov,Some-college,Married-spouse-absent,Prof-specialty,Not-in-family,Black,Male,19080,0,1,United-States,>50K
56,Federal-gov,Some-college,Married-spouse-absent,Machine-op-inspct,Not-in-family,Black,Male,18875,0,48,United-States,>50K
56,Local-gov,Some-college,Married-spouse-absent,Exec-managerial,Not-in-family,Black,Male,19080,0,55,United-States,>50K
56,Federal-gov,Some-college,Married-spouse-absent,Machine-op-inspct,Not-in-family,Black,Male,18875,0,42,United-States,>50K
56,State-gov,Some-college,Married-spouse-absent,Exec-managerial,Not-in-family,Black,Male,8025,0,1,United-States,>50K
56,Federal-gov,Some-college,Married-spouse-absent,Handlers-cleaners,Not-in-family,Black,Male,8025,0,1,United-States,>50K
56,Local-gov,Some-college,Married-spouse-absent,Handlers-cleaners,Not-in-family,Black,Male,8025,0,1,United-States,>50K
