duration_in_month,credit_amount,installment_as_income_perc,present_res_since,age,credits_this_bank,people_under_maintenance,account_check_status,credit_history,purpose,savings,present_emp_since,personal_status_sex,other_debtors,property,other_installment_plans,housing,job,telephone,foreign_worker,default
58.6,250.0,2.9,1.0,35.0,4.0,1.0,< 0 DM,existing credits paid back duly till now,domestic appliances,... < 100 DM,... < 1 year ,male : divorced/separated,co-applicant,"if not A121/A122 : car or other, not in attribute 6",bank,own,unemployed/ unskilled - non-resident,none,yes,0.553
60.0,15945.0,4.0,1.5,35.0,4.0,1.0,< 0 DM,existing credits paid back duly till now,domestic appliances,... < 100 DM,... < 1 year ,male : divorced/separated,co-applicant,if not A121 : building society savings agreement/ life insurance,stores,own,unemployed/ unskilled - non-resident,none,yes,0.562
4.0,250.0,4.0,4.0,35.0,4.0,1.0,< 0 DM,existing credits paid back duly till now,domestic appliances,... < 100 DM,... < 1 year ,male : divorced/separated,co-applicant,unknown / no property,bank,own,unemployed/ unskilled - non-resident,none,yes,0.553
7.6,5693.8,1.0,1.0,35.0,4.0,1.0,< 0 DM,existing credits paid back duly till now,domestic appliances,... < 100 DM,... < 1 year ,male : divorced/separated,co-applicant,unknown / no property,bank,own,unemployed/ unskilled - non-resident,none,yes,0.553
8.7,13084.4,4.0,4.0,35.0,4.0,1.0,< 0 DM,existing credits paid back duly till now,domestic appliances,... < 100 DM,... < 1 year ,male : divorced/separated,co-applicant,unknown / no property,stores,own,unemployed/ unskilled - non-resident,none,yes,0.561
60.0,250.0,1.0,4.0,35.0,4.0,1.0,< 0 DM,existing credits paid back duly till now,domestic appliances,... < 100 DM,4 <= ... < 7 years,male : divorced/separated,co-applicant,unknown / no property,stores,own,unemployed/ unskilled - non-resident,none,yes,0.538
26.7,3495.4,4.0,1.0,35.0,4.0,1.0,< 0 DM,existing credits paid back duly till now,domestic appliances,... < 100 DM,... < 1 year ,male : divorced/separated,co-applicant,if not A121 : building society savings agreement/ life insurance,stores,own,unemployed/ unskilled - non-resident,none,yes,0.553
60.0,5631.1,4.0,2.1,35.0,4.0,1.0,< 0 DM,existing credits paid back duly till now,domestic appliances,... < 100 DM,4 <= ... < 7 years,male : married/widowed,co-applicant,unknown / no property,bank,own,unemployed/ unskilled - non-resident,none,yes,0.535
4.0,250.0,4.0,1.8,35.0,4.0,1.0,< 0 DM,existing credits paid back duly till now,domestic appliances,100 <= ... < 500 DM,unemployed,male : divorced/separated,co-applicant,if not A121 : building society savings agreement/ life insurance,stores,own,skilled employee / official,none,yes,0.5
34.3,1922.0,1.0,1.0,35.0,4.0,1.0,< 0 DM,existing credits paid back duly till now,domestic appliances,... < 100 DM,unemployed,male : married/widowed,co-applicant,"if not A121/A122 : car or other, not in attribute 6",bank,own,unemployed/ unskilled - non-resident,none,yes,0.516
46.1,8450.5,1.0,4.0,35.0,4.0,1.0,< 0 DM,existing credits paid back duly till now,domestic appliances,... < 100 DM,... < 1 year ,male : divorced/separated,co-applicant,"if not A121/A122 : car or other, not in attribute 6",stores,own,unemployed/ unskilled - non-resident,none,yes,0.548
4.0,15945.0,1.8,1.0,35.0,4.0,1.0,< 0 DM,existing credits paid back duly till now,domestic appliances,... < 100 DM,... < 1 year ,male : divorced/separated,co-applicant,"if not A121/A122 : car or other, not in attribute 6",bank,own,unemployed/ unskilled - non-resident,none,yes,0.564
31.7,9303.2,4.0,4.0,35.0,4.0,1.0,< 0 DM,existing credits paid back duly till now,domestic appliances,100 <= ... < 500 DM,... < 1 year ,male : divorced/separated,co-applicant,unknown / no property,bank,own,skilled employee / official,none,yes,0.534
46.4,15945.0,1.0,1.0,35.0,4.0,1.0,< 0 DM,existing credits paid back duly till now,domestic appliances,... < 100 DM,unemployed,male : divorced/separated,co-applicant,unknown / no property,bank,own,unemployed/ unskilled - non-resident,none,yes,0.559
4.0,2462.2,1.0,4.0,35.0,4.0,1.0,< 0 DM,existing credits paid back duly till now,domestic appliances,... < 100 DM,4 <= ... < 7 years,male : divorced/separated,co-applicant,if not A121 : building society savings agreement/ life insurance,stores,own,management/ self-employed/ highly qualified employee/ officer,none,yes,0.52
4.0,8301.3,3.2,1.0,35.0,4.0,1.0,< 0 DM,existing credits paid back duly till now,domestic appliances,... < 100 DM,unemployed,male : divorced/separated,co-applicant,if not A121 : building society savings agreement/ life insurance,stores,own,unemployed/ unskilled - non-resident,none,yes,0.55
19.7,11689.8,2.4,1.0,35.0,4.0,1.0,< 0 DM,existing credits paid back duly till now,domestic appliances,... < 100 DM,4 <= ... < 7 years,male : divorced/separated,co-applicant,if not A121 : building society savings agreement/ life insurance,bank,own,management/ self-employed/ highly qualified employee/ officer,none,yes,0.533
60.0,15945.0,4.0,4.0,35.0,4.0,1.0,0 <= ... < 200 DM,existing credits paid back duly till now,domestic appliances,... < 100 DM,... < 1 year ,male : divorced/separated,co-applicant,unknown / no property,bank,own,management/ self-employed/ highly qualified employee/ officer,none,yes,0.535
4.0,15945.0,4.0,4.0,35.0,4.0,1.0,< 0 DM,existing credits paid back duly till now,domestic appliances,... < 100 DM,4 <= ... < 7 years,female : divorced/separated/married,co-applicant,if not A121 : building society savings agreement/ life insurance,bank,own,unemployed/ unskilled - non-resident,none,yes,0.538
