age,workclass,education,marital-status,occupation,relationship,race,sex,capital-gain,capital-loss,hours-per-week,native-country
56.0,Self-emp-not-inc,Some-college,Married-spouse-absent,Prof-specialty,Not-in-family,Black,Male,88971.8324040256,3984.0529133373407,42.37061764535053,United-States
56.0,Self-emp-not-inc,Some-college,Married-spouse-absent,Prof-specialty,Not-in-family,Black,Male,99999.0,4356.0,37.86162622084493,United-States
56.0,Local-gov,Some-college,Married-spouse-absent,Prof-specialty,Not-in-family,Black,Male,97194.21522656865,4356.0,46.393266936455476,United-States
56.0,Self-emp-inc,Some-college,Married-spouse-absent,Prof-specialty,Not-in-family,Black,Male,83138.87504110136,3865.6534181695774,46.750550107297116,United-States
56.0,Self-emp-not-inc,Some-college,Married-spouse-absent,Protective-serv,Not-in-family,Black,Male,99999.0,3927.1615436014336,56.626914046288164,United-States
56.0,Local-gov,Some-college,Married-spouse-absent,Prof-specialty,Not-in-family,Black,Male,77929.66624524337,4064.810848114161,50.939991021526566,United-States
56.0,Self-emp-inc,Some-college,Married-spouse-absent,Prof-specialty,Not-in-family,Black,Male,63698.75378157944,3184.7117643708048,55.163354667384546,United-States
56.0,Without-pay,Some-college,Married-spouse-absent,Prof-specialty,Not-in-family,Black,Male,99999.0,3597.109749554019,44.56811684776684,United-States
56.0,Local-gov,Some-college,Married-spouse-absent,Prof-specialty,Not-in-family,Black,Male,84427.6531585064,3800.9911341988964,40.372824835783156,United-States
56.0,Self-emp-not-inc,Some-college,Married-spouse-absent,Prof-specialty,Not-in-family,Black,Male,96424.96075297317,2508.4216115960603,38.5505352906471,United-States
56.0,Federal-gov,Some-college,Married-spouse-absent,Prof-specialty,Not-in-family,Black,Male,99999.0,3481.437807547717,67.79529934835419,United-States
56.0,Self-emp-inc,Some-college,Married-spouse-absent,Transport-moving,Not-in-family,Black,Male,98257.12994435639,4265.471243181116,48.22711926135128,United-States
56.0,Self-emp-inc,Some-college,Married-spouse-absent,Adm-clerical,Not-in-family,Black,Male,93962.3837748409,3912.695847517305,46.513772830551204,United-States
56.0,Local-gov,Some-college,Married-spouse-absent,Sales,Not-in-family,Black,Male,82117.96881927586,3964.1394329823406,50.53679656530011,United-States
56.0,Federal-gov,Some-college,Married-spouse-absent,Craft-repair,Not-in-family,Black,Male,91837.97501843344,4356.0,43.65402545130198,United-States
56.0,Local-gov,Some-college,Married-spouse-absent,Prof-specialty,Not-in-family,Black,Male,75102.47327235677,2802.6958095698506,66.42233427028123,United-States
56.0,Self-emp-inc,Some-college,Married-spouse-absent,Protective-serv,Not-in-family,Black,Male,99999.0,3470.834007359464,53.648518033332884,United-States
56.0,Federal-gov,Some-college,Married-spouse-absent,Machine-op-inspct,Not-in-family,Black,Male,99999.0,3477.751129388024,55.726261032683006,United-States
56.0,Self-emp-inc,Some-college,Married-spouse-absent,Exec-managerial,Not-in-family,Black,Male,83736.0091030805,2283.665944274411,60.21692097489129,United-States
56.0,Self-emp-not-inc,Some-college,Married-spouse-absent,Exec-managerial,Not-in-family,Black,Male,99999.0,2461.0172596773555,7.40645626011436,United-States
