ExternalRiskEstimate,MSinceOldestTradeOpen,MSinceMostRecentTradeOpen,AverageMInFile,NumSatisfactoryTrades,NumTrades60Ever2DerogPubRec,NumTrades90Ever2DerogPubRec,PercentTradesNeverDelq,MSinceMostRecentDelq,MaxDelq2PublicRecLast12M,MaxDelqEver,NumTotalTrades,NumTradesOpeninLast12M,PercentInstallTrades,MSinceMostRecentInqexcl7days,NumInqLast6M,NumInqLast6Mexcl7days,NetFractionRevolvingBurden,NetFractionInstallBurden,NumRevolvingTradesWBalance,NumInstallTradesWBalance,NumBank2NatlTradesWHighUtilization,PercentTradesWBalance
-9.0,803.0,-9.0,-9.0,-9.0,-9.0,-9.0,3.3076732786824112,-9.0,-9.0,-1.3603065405436683,78.46646255677987,3.4642969669242225,28.516324252674544,11.430783124369286,21.888097997814015,-9.0,18.607563591370695,-2.652334683281175,-9.0,23.0,-9.0,-9.0
-9.0,803.0,-9.0,383.00000000000006,-9.0,19.000000000000004,-9.0,-9.0,19.186829606650708,-9.0,-9.0,16.192207958860156,-9.0,-9.0,-8.999999999999998,-9.0,-9.0,46.006023664754714,379.86359641130883,10.50941512588499,10.709588193716726,-9.0,-8.229380690935102
-9.0,803.0,-9.0,383.00000000000006,-9.0,-9.0,-9.0,17.38856777439982,-9.0,-1.8401144854932634,-9.0,51.89594198509197,-7.478252467424917,-9.0,-8.999999999999998,-8.11919117546239,36.90263658915715,134.10511792785132,188.2266789067523,-9.0,21.447241239807003,-9.0,-9.0
-9.0,-9.0,263.28097973199516,383.00000000000006,67.31565389936775,-9.0,-4.567439733535832,99.54273825002115,29.758340737530474,-9.0,-5.864296624567397,32.08616349690277,-9.0,-9.0,-8.999999999999998,-9.0,-9.0,71.32548445718912,-9.0,-9.0,6.731382015230093,14.342156284099676,-9.0
-9.0,485.0404042892083,-9.0,112.26511857527593,-9.0,2.237443126418508,-9.0,100.0,83.0,9.0,-9.0,104.0,0.3798877892496475,-9.0,-8.999999999999998,-9.0,62.78155058828977,-9.0,-9.0,-1.5448644936757387,-9.0,-9.0,-9.0
-9.0,803.0,188.41349427933562,-9.0,-9.0,-9.0,-9.0,-9.0,65.82225725979696,-9.0,8.0,104.0,-9.0,-9.0,3.561908390023723,-9.0,-9.0,-2.0474723064524483,-9.0,-9.0,7.436649356943487,8.83987877814597,100.0
-9.0,803.0,-9.0,-9.0,79.0,-9.0,19.000000000000004,-9.0,57.06590732917317,-9.0,-9.0,-9.0,-8.916186255470723,30.861626849438533,20.3992068818503,-9.0,-9.0,101.4526660433621,250.46170398628882,-9.0,23.0,-8.198154779762772,-9.0
-9.0,225.1137937365891,383.00000000000006,-9.0,79.0,-9.0,-9.0,-9.0,83.0,8.588980679059922,-1.1176485701235328,-9.0,-9.0,10.477666837232753,-8.999999999999998,-9.0,34.544514905034276,-9.0,-9.0,-9.0,23.0,18.000000000000004,-3.3488042685840798
-9.0,803.0,24.14505025531204,383.00000000000006,79.0,-9.0,-9.0,19.17636253834153,83.0,-6.273052780770569,-9.0,104.0,-9.0,-9.0,-8.999999999999998,66.0,23.22564820884846,-9.0,-9.0,-9.0,23.0,-9.0,-9.0
-9.0,803.0,383.00000000000006,367.5994292240755,46.45852206082874,19.000000000000004,-9.0,-9.0,83.0,5.981403560518377,-9.0,-9.0,2.1434599153730733,-9.0,-8.999999999999998,-9.0,-9.0,-9.0,471.0,32.0,19.44723421916799,-9.0,-9.0
