age,workclass,education,marital-status,occupation,relationship,race,sex,capital-gain,capital-loss,hours-per-week,native-country,class
56,Federal-gov,Some-college,Married-spouse-absent,Handlers-cleaners,Not-in-family,Black,Male,9312,0,50,United-States,>50K
56,Private,Some-college,Married-spouse-absent,Handlers-cleaners,Not-in-family,Black,Male,9312,0,50,United-States,>50K
56,Federal-gov,Some-college,Married-spouse-absent,Tech-support,Not-in-family,Black,Male,9312,0,50,United-States,>50K
56,Federal-gov,Some-college,Married-spouse-absent,Exec-managerial,Not-in-family,Black,Male,9312,0,50,United-States,>50K
56,Federal-gov,Some-college,Married-spouse-absent,Craft-repair,Not-in-family,Black,Male,9312,0,50,United-States,>50K
56,Federal-gov,Some-college,Married-spouse-absent,Tech-support,Not-in-family,Black,Male,29308,0,50,United-States,>50K
56,Federal-gov,Some-college,Married-spouse-absent,Handlers-cleaners,Not-in-family,Black,Male,29308,0,50,United-States,>50K
56,State-gov,Some-college,Married-spouse-absent,Craft-repair,Not-in-family,Black,Male,29308,0,50,United-States,>50K
56,Federal-gov,Some-college,Married-spouse-absent,Handlers-cleaners,Not-in-family,Black,Male,9312,0,49,United-States,>50K
56,Federal-gov,Some-college,Married-spouse-absent,nan,Not-in-family,Black,Male,9312,0,49,United-States,>50K
56,Federal-gov,Some-college,Married-spouse-absent,Other-service,Not-in-family,Black,Male,9312,0,49,United-States,>50K
56,Federal-gov,Some-college,Married-spouse-absent,Adm-clerical,Not-in-family,Black,Male,9312,0,49,United-States,>50K
56,Federal-gov,Some-college,Married-spouse-absent,Craft-repair,Not-in-family,Black,Male,9312,0,49,United-States,>50K
