ExternalRiskEstimate,MSinceOldestTradeOpen,MSinceMostRecentTradeOpen,AverageMInFile,NumSatisfactoryTrades,NumTrades60Ever2DerogPubRec,NumTrades90Ever2DerogPubRec,PercentTradesNeverDelq,MSinceMostRecentDelq,MaxDelq2PublicRecLast12M,MaxDelqEver,NumTotalTrades,NumTradesOpeninLast12M,PercentInstallTrades,MSinceMostRecentInqexcl7days,NumInqLast6M,NumInqLast6Mexcl7days,NetFractionRevolvingBurden,NetFractionInstallBurden,NumRevolvingTradesWBalance,NumInstallTradesWBalance,NumBank2NatlTradesWHighUtilization,PercentTradesWBalance,RiskPerformance
-9.0,-9.0,-9.0,-9.0,72.7,-9.0,-9.0,-9.0,-9.0,-9.0,6.8,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,0.73
-9.0,203.3,-9.0,-6.3,19.9,-9.0,-9.0,-8.5,-9.0,-2.2,3.9,-9.0,-9.0,-9.0,-8.8,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,0.738
-9.0,33.9,-9.0,112.3,78.0,-9.0,-9.0,-8.4,-9.0,-6.4,-8.9,-9.0,-9.0,-9.0,-8.8,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,0.739
-9.0,309.7,-9.0,-9.0,2.5,-9.0,-9.0,4.5,-9.0,-9.0,-6.7,-9.0,-9.0,-9.0,7.3,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,0.73
-9.0,485.5,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,-5.0,-9.0,-9.0,-9.0,-9.0,0.2,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,0.735
-9.0,307.9,2.6,91.0,4.7,-9.0,-9.0,-9.0,-9.0,-9.0,-2.8,-9.0,-9.0,-9.0,-6.2,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,0.744
-9.0,-9.0,-9.0,173.0,30.5,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,3.7,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,0.73
-9.0,183.7,-9.0,-7.8,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,24.0,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,0.733
-9.0,1.1,-9.0,26.9,-8.5,-9.0,-9.0,-9.0,-9.0,-9.0,6.6,-9.0,-9.0,-9.0,13.5,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,0.737
-9.0,803.0,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,8.0,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,0.864
-9.0,680.4,-9.0,-9.0,-8.8,-9.0,-9.0,-9.0,-9.0,-9.0,-8.8,-9.0,-9.0,-9.0,-8.7,-9.0,-9.0,-9.0,-9.0,-9.0,-0.2,-9.0,-9.0,0.739
-9.0,515.4,-9.0,-6.5,-9.0,-9.0,-9.0,26.6,-9.0,-9.0,-2.5,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,0.741
-9.0,-9.0,-9.0,194.8,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,8.0,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,0.737
-9.0,778.5,-9.0,145.8,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,0.839
-9.0,614.1,-9.0,-5.7,9.6,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,58.0,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,0.738
-9.0,707.3,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,-0.1,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,0.73
-9.0,441.2,-9.0,49.7,-8.6,-9.0,-9.0,-8.7,-9.0,3.3,-8.9,-9.0,-9.0,-9.0,-8.9,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,0.737
-9.0,44.7,-9.0,383.0,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,0.731
-9.0,373.0,-9.0,-9.0,61.3,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,0.745
