age,workclass,education,marital-status,occupation,relationship,race,sex,capital-gain,capital-loss,hours-per-week,native-country,class
56,Federal-gov,Some-college,Married-spouse-absent,Prof-specialty,Not-in-family,Black,Male,14849,0,65,United-States,>50K
56,Never-worked,Some-college,Married-spouse-absent,Prof-specialty,Not-in-family,Black,Male,17384,0,65,United-States,>50K
56,Federal-gov,Some-college,Married-spouse-absent,Armed-Forces,Not-in-family,Black,Male,8554,0,54,United-States,>50K
56,Federal-gov,Some-college,Married-spouse-absent,Prof-specialty,Not-in-family,Black,Male,14849,0,1,United-States,>50K
56,Private,Some-college,Married-spouse-absent,Prof-specialty,Not-in-family,Black,Male,52727,0,50,United-States,>50K
56,Never-worked,Some-college,Married-spouse-absent,Farming-fishing,Not-in-family,Black,Male,14849,0,54,United-States,>50K
56,Federal-gov,Some-college,Married-spouse-absent,Tech-support,Not-in-family,Black,Male,14849,0,54,United-States,>50K
56,Federal-gov,Some-college,Married-spouse-absent,Farming-fishing,Not-in-family,Black,Male,14849,0,54,United-States,>50K
56,Federal-gov,Some-college,Married-spouse-absent,Farming-fishing,Not-in-family,Black,Male,14849,0,45,United-States,>50K
56,Never-worked,Some-college,Married-spouse-absent,Adm-clerical,Not-in-family,Black,Male,14849,0,45,United-States,>50K
56,Never-worked,Some-college,Married-spouse-absent,Prof-specialty,Not-in-family,Black,Male,17384,8,52,United-States,>50K
56,Never-worked,Some-college,Married-spouse-absent,Exec-managerial,Not-in-family,Black,Male,17384,0,55,United-States,>50K
