age,sex,race,priors_count,days_b_screening_arrest,c_charge_degree,is_recid,is_violent_recid,two_year_recid,length_of_stay,class
45,Female,Other,36,36,M,0,0,0,18,Medium
45,Female,Other,19,143,M,0,0,0,545,Medium
45,Female,Other,25,933,M,0,0,0,66,Medium
45,Female,Other,26,95,F,0,0,0,274,Medium
45,Female,Other,14,729,M,0,0,0,366,Medium
45,Female,Other,36,946,F,0,0,0,32,Medium
45,Female,Other,32,969,F,0,0,0,63,Medium
45,Female,Other,5,3,M,1,0,0,319,Medium
45,Female,Other,21,797,F,0,0,0,377,Medium
45,Female,Other,15,241,M,0,0,1,89,Medium
