age,sex,race,priors_count,days_b_screening_arrest,c_charge_degree,is_recid,is_violent_recid,two_year_recid,length_of_stay,class
45,Female,Other,26,487,M,0,0,0,5,Medium
45,Female,Other,35,246,M,0,0,0,325,Medium
45,Female,Other,10,997,M,0,0,0,19,Medium
45,Female,Other,12,374,M,0,0,0,767,Medium
45,Female,Other,6,1,M,0,1,0,335,Medium
45,Female,Other,8,1012,M,0,0,0,561,Medium
45,Female,Other,5,216,M,0,0,1,44,Medium
45,Female,Other,7,1,M,0,0,1,688,Medium
45,Female,Other,24,879,F,0,0,0,274,Medium
45,Female,Other,8,450,M,0,0,1,22,Medium
