age,capital-gain,capital-loss,hours-per-week,workclass,education,marital-status,occupation,relationship,race,sex,native-country,class
56.0,99999.0,4356.0,14.5,Self-emp-inc,Some-college,Married-spouse-absent,Exec-managerial,Not-in-family,Black,Male,United-States,0.997
56.0,54726.3,2696.8,70.7,Self-emp-inc,Some-college,Married-spouse-absent,Exec-managerial,Not-in-family,Black,Male,United-States,0.985
56.0,99999.0,4356.0,56.3,Federal-gov,Some-college,Married-spouse-absent,Tech-support,Not-in-family,Black,Male,United-States,0.997
56.0,99999.0,4356.0,99.0,Self-emp-inc,Some-college,Married-spouse-absent,Tech-support,Not-in-family,Black,Male,United-States,0.998
56.0,48945.3,0.0,39.9,Self-emp-inc,Some-college,Married-spouse-absent,Protective-serv,Not-in-family,Black,Male,United-States,0.906
56.0,32565.4,0.0,87.3,Federal-gov,Some-college,Married-spouse-absent,Sales,Not-in-family,Black,Male,United-States,0.82
56.0,95420.2,4356.0,31.3,Federal-gov,Some-college,Married-spouse-absent,Machine-op-inspct,Not-in-family,Black,Male,United-States,0.995
56.0,99999.0,2130.1,48.0,Self-emp-not-inc,Some-college,Married-spouse-absent,Armed-Forces,Not-in-family,Black,Male,United-States,0.992
56.0,38626.0,0.0,99.0,Self-emp-not-inc,Some-college,Married-spouse-absent,Prof-specialty,Not-in-family,Black,Male,United-States,0.823
56.0,99999.0,4356.0,79.9,State-gov,Some-college,Married-spouse-absent,Prof-specialty,Not-in-family,Black,Male,United-States,0.997
56.0,53476.5,0.0,23.0,Self-emp-not-inc,Some-college,Married-spouse-absent,Prof-specialty,Not-in-family,Black,Male,United-States,0.801
56.0,75159.7,197.0,6.1,State-gov,Some-college,Married-spouse-absent,Tech-support,Not-in-family,Black,Male,United-States,0.97
56.0,99999.0,4356.0,1.0,Local-gov,Some-college,Married-spouse-absent,Handlers-cleaners,Not-in-family,Black,Male,United-States,0.991
56.0,55269.8,0.0,63.2,Private,Some-college,Married-spouse-absent,Prof-specialty,Not-in-family,Black,Male,United-States,0.929
