age,capital-gain,capital-loss,hours-per-week,workclass,education,marital-status,occupation,relationship,race,sex,native-country,class
56.0,74590.3,0.0,1.0,Self-emp-not-inc,Some-college,Married-spouse-absent,Protective-serv,Not-in-family,Black,Male,United-States,0.943
56.0,62453.3,1112.1,22.5,Self-emp-inc,Some-college,Married-spouse-absent,Exec-managerial,Not-in-family,Black,Male,United-States,0.974
56.0,35544.2,0.0,46.6,Federal-gov,Some-college,Married-spouse-absent,Tech-support,Not-in-family,Black,Male,United-States,0.792
56.0,81295.1,3898.9,66.5,Self-emp-inc,Some-college,Married-spouse-absent,Protective-serv,Not-in-family,Black,Male,United-States,0.995
56.0,99999.0,4356.0,10.6,State-gov,Some-college,Married-spouse-absent,Prof-specialty,Not-in-family,Black,Male,United-States,0.995
56.0,53469.0,0.0,76.9,State-gov,Some-college,Married-spouse-absent,Prof-specialty,Not-in-family,Black,Male,United-States,0.939
56.0,99999.0,4356.0,35.7,Private,Some-college,Married-spouse-absent,Prof-specialty,Not-in-family,Black,Male,United-States,0.996
56.0,63543.5,537.0,90.5,Local-gov,Some-college,Married-spouse-absent,Protective-serv,Not-in-family,Black,Male,United-States,0.978
56.0,99999.0,4356.0,55.0,Self-emp-not-inc,Some-college,Married-spouse-absent,Sales,Not-in-family,Black,Male,United-States,0.996
56.0,99999.0,4356.0,99.0,Self-emp-not-inc,Some-college,Married-spouse-absent,Transport-moving,Not-in-family,Black,Male,United-States,0.997
