duration_in_month,credit_amount,installment_as_income_perc,present_res_since,age,credits_this_bank,people_under_maintenance,account_check_status,credit_history,purpose,savings,present_emp_since,personal_status_sex,other_debtors,property,other_installment_plans,housing,job,telephone,foreign_worker,default
4.0,250.0,1.0,4.0,35.0,4.0,1.0,< 0 DM,existing credits paid back duly till now,domestic appliances,... < 100 DM,... < 1 year ,male : divorced/separated,co-applicant,unknown / no property,stores,own,unemployed/ unskilled - non-resident,none,yes,0.544
4.0,4369.1,4.0,1.0,35.0,4.0,1.0,< 0 DM,existing credits paid back duly till now,domestic appliances,... < 100 DM,... < 1 year ,male : divorced/separated,co-applicant,"if not A121/A122 : car or other, not in attribute 6",bank,own,unemployed/ unskilled - non-resident,none,yes,0.557
60.0,250.0,2.0,1.4,35.0,4.0,1.0,< 0 DM,existing credits paid back duly till now,domestic appliances,... < 100 DM,4 <= ... < 7 years,male : divorced/separated,co-applicant,unknown / no property,stores,own,unemployed/ unskilled - non-resident,none,yes,0.538
20.9,250.0,4.0,2.8,35.0,4.0,1.0,< 0 DM,existing credits paid back duly till now,domestic appliances,... < 100 DM,... < 1 year ,male : divorced/separated,co-applicant,unknown / no property,bank,own,management/ self-employed/ highly qualified employee/ officer,none,yes,0.539
38.9,5404.8,1.0,2.0,35.0,4.0,1.0,< 0 DM,existing credits paid back duly till now,domestic appliances,... < 100 DM,... < 1 year ,male : divorced/separated,co-applicant,if not A121 : building society savings agreement/ life insurance,bank,own,unemployed/ unskilled - non-resident,none,yes,0.554
60.0,7807.2,3.1,4.0,35.0,4.0,1.0,< 0 DM,existing credits paid back duly till now,domestic appliances,... < 100 DM,... < 1 year ,male : divorced/separated,co-applicant,"if not A121/A122 : car or other, not in attribute 6",bank,own,unemployed/ unskilled - non-resident,none,yes,0.558
4.0,2540.0,2.3,1.0,35.0,4.0,1.0,< 0 DM,existing credits paid back duly till now,domestic appliances,... < 100 DM,unemployed,male : divorced/separated,co-applicant,if not A121 : building society savings agreement/ life insurance,stores,own,unemployed/ unskilled - non-resident,none,yes,0.541
8.3,14063.6,2.0,4.0,35.0,4.0,1.0,< 0 DM,existing credits paid back duly till now,domestic appliances,... < 100 DM,... < 1 year ,male : divorced/separated,co-applicant,unknown / no property,bank,own,unemployed/ unskilled - non-resident,none,yes,0.565
4.0,10167.3,1.0,1.0,35.0,4.0,1.0,< 0 DM,existing credits paid back duly till now,domestic appliances,... < 100 DM,4 <= ... < 7 years,male : divorced/separated,co-applicant,unknown / no property,bank,own,unemployed/ unskilled - non-resident,none,yes,0.55
4.0,15945.0,4.0,1.0,35.0,4.0,1.0,< 0 DM,existing credits paid back duly till now,domestic appliances,... < 100 DM,unemployed,male : divorced/separated,co-applicant,if not A121 : building society savings agreement/ life insurance,bank,own,unemployed/ unskilled - non-resident,none,yes,0.561
27.0,15945.0,4.0,2.0,35.0,4.0,1.0,< 0 DM,existing credits paid back duly till now,domestic appliances,... < 100 DM,... < 1 year ,male : divorced/separated,co-applicant,if not A121 : building society savings agreement/ life insurance,stores,own,unemployed/ unskilled - non-resident,none,yes,0.563
60.0,15945.0,4.0,2.1,35.0,4.0,1.0,< 0 DM,existing credits paid back duly till now,domestic appliances,... < 100 DM,... < 1 year ,male : divorced/separated,co-applicant,unknown / no property,bank,own,unemployed/ unskilled - non-resident,none,yes,0.573
